latitude,longitude,altitude,geometry,English Name,Latitude,Longitude,Nom en français,Station ID
49.2880555555556,-122.79139,,Point,Coquitlam,49.2880555555556,-122.79139,Coquitlam,100135
49.36806,-123.27639,,Point,Horsheshoe Bay,49.36806,-123.27639,Horsheshoe Bay,100138
49.009869,-123.082017,,Point,Tsawwassen,49.009869,-123.082017,Tsawwassen,100140
53.9147222222222,-122.74194444444,,Point,Prince George Plaza 400,53.9147222222222,-122.74194444444,Prince George Plaza 400,100202
53.8711111111111,-122.74361111111,,Point,Prince George BC Rail Warehouse,53.8711111111111,-122.74361111111,Prince George BC Rail Warehouse,100203
53.8583333333333,-122.76083333333,,Point,Prince George Gladstone School,53.8583333333333,-122.76083333333,Prince George Gladstone School,100205
53.9155555555556,-122.79583333333,,Point,Prince George Lakewood,53.9155555555556,-122.79583333333,Prince George Lakewood,100206
53.8416,-122.7344,,Point,Prince George Marsulex Acid Plant,53.8416,-122.7344,Prince George Marsulex Acid Plant,100212
53.9353,-122.6814,,Point,Prince George Denicola Ranch,53.9353,-122.6814,Prince George Denicola Ranch,100213
53.9053,-122.7344,,Point,Prince George Exploration Place,53.9053,-122.7344,Prince George Exploration Place,100214
48.4425,-123.36277777777,,Point,Victoria Topaz,48.4425,-123.36277777777,Victoria Topaz,100304
48.4238888888889,-123.49277777777,,Point,Colwood City Hall,48.4238888888889,-123.49277777777,Colwood City Hall,100308
48.4374,-123.422,,Point,Esquimalt Graving Dock,48.4374,-123.422,Esquimalt Graving Dock,100312
50.6741666666667,-120.33277777777,,Point,Kamloops Federal Building,50.6741666666667,-120.33277777777,Kamloops Federal Building,100401
49.862119,-119.467461,,Point,Kelowna KLO Road,49.862119,-119.467461,Kelowna KLO Road,100703
49.0427777777778,-122.30972222222,,Point,Central Abbotsford,49.0427777777778,-122.30972222222,Central Abbotsford,101003
49.021506,-122.326556,,Point,Abbotsford Airport,49.021506,-122.326556,Abbotsford Airport,101005
49.1561111111111,-121.94055555555,,Point,Chilliwack Airport,49.1561111111111,-121.94055555555,Chilliwack Airport,101101
49.2452777777778,-122.70889,,Point,Pitt Meadows,49.2452777777778,-122.70889,Pitt Meadows,101202
49.0961111111111,-122.56638888888,,Point,Langley Central,49.0961111111111,-122.56638888888,Langley Central,101301
49.3697222222222,-121.49944444444,,Point,Hope Airport,49.3697222222222,-121.49944444444,Hope Airport,101401
49.2147222222222,-122.58194444444,,Point,Maple Ridge,49.2147222222222,-122.58194444444,Maple Ridge,101501
49.70516,-123.15133,,Point,Squamish Elementary,49.70516,-123.15133,Squamish Elementary,101603
52.9630555555556,-122.45055555555,,Point,Quesnel Maple Drive,52.9630555555556,-122.45055555555,Quesnel Maple Drive,101702
52.9664,-122.5167,,Point,Quesnel West Correlieu School,52.9664,-122.5167,Quesnel West Correlieu School,101704
52.96936,-122.4934,,Point,Quesnel Johnston Avenue,52.96936,-122.4934,Quesnel Johnston Avenue,101706
49.0944444444444,-116.5125,,Point,Creston PC School,49.0944444444444,-116.5125,Creston PC School,101801
49.507103,-115.753682,,Point,Cranbrook Muriel Baxter,49.507103,-115.753682,Cranbrook Muriel Baxter,101904
48.7833333333333,-123.13333333333,,Point,Saturna,48.7833333333333,-123.13333333333,Saturna,102001
49.2008333333333,-123.99388888888,,Point,Nanaimo Labieux Road,49.2008333333333,-123.99388888888,Nanaimo Labieux Road,102102
49.0991,-123.8519,,Point,Harmac,49.0991,-123.8519,Harmac,102103
49.0955555555556,-117.69722222222,,Point,Butler Park,49.0955555555556,-117.69722222222,Butler Park,102201
49.875,-124.51666666666,,Point,Powell River Cranberry Lake,49.875,-124.51666666666,Powell River Cranberry Lake,102301
49.8875,-124.55833333333,,Point,Powell River Wildwood,49.8875,-124.55833333333,Powell River Wildwood,102302
49.8991,-124.5625,,Point,Powell River James Thompson School,49.8991,-124.5625,Powell River James Thompson School,102303
54.7784861,-127.168542,,Point,Smithers Muheim Memorial,54.7784861,-127.168542,Smithers Muheim Memorial,102402
54.5183333333333,-128.5975,,Point,Terrace BC Access Centre,54.5183333333333,-128.5975,Terrace BC Access Centre,102501
54.521667,-128.6075,,Point,Terrace Skeena Middle School,54.521667,-128.6075,Terrace Skeena Middle School,102503
49.2608,-124.8056,,Point,Port Alberni Elementary,49.2608,-124.8056,Port Alberni Elementary,102602
52.1416666666667,-122.15277777777,,Point,Williams Lake Columneetza School,52.1416666666667,-122.15277777777,Williams Lake Columneetza School,102701
52.1308333333333,-122.14222222222,,Point,Williams Lake CRD Library,52.1308333333333,-122.14222222222,Williams Lake CRD Library,102706
50.0166666666667,-125.24722222222,,Point,Elk Falls Dogwood,50.0166666666667,-125.24722222222,Elk Falls Dogwood,102801
49.7327857,-114.88766,,Point,Sparwood Centennial Square,49.7327857,-114.88766,Sparwood Centennial Square,103021
51.2975,-116.9667,,Point,Golden Helipad,51.2975,-116.9667,Golden Helipad,103202
49.4908333333333,-117.29527777777,,Point,Nelson Kutenai Place,49.4908333333333,-117.29527777777,Nelson Kutenai Place,103302
50.9872222222222,-118.18833333333,,Point,Revelstoke,50.9872222222222,-118.18833333333,Revelstoke,103402
49.3183,-117.6692,,Point,Castlegar Zinio Park,49.3183,-117.6692,Castlegar Zinio Park,103502
49.238008,-121.762264,,Point,Agassiz,49.238008,-121.762264,Agassiz,103601
55.575,-121.92083333333,,Point,Pine River Gas Plant,55.575,-121.92083333333,Pine River Gas Plant,103702
55.6056,-121.9722,,Point,Pine River Hasler,55.6056,-121.9722,Pine River Hasler,103704
54.0558333333333,-128.67388888888,,Point,Kitimat Riverlodge,54.0558333333333,-128.67388888888,Kitimat Riverlodge,103901
54.0297222222222,-128.70166666666,,Point,Kitimat Haul Road,54.0297222222222,-128.70166666666,Kitimat Haul Road,103902
54.0675,-128.64027777777,,Point,Kitimat Whitesail,54.0675,-128.64027777777,Kitimat Whitesail,103904
53.9733,-128.6503,,Point,Kitimat Haisla Village,53.9733,-128.6503,Kitimat Haisla Village,103905
54.0194,-128.7042,,Point,Kitimat Rio Tinto Alcan,54.0194,-128.7042,Kitimat Rio Tinto Alcan,103906
50.25775,-119.2673,,Point,Vernon Science Centre,50.25775,-119.2673,Vernon Science Centre,104003
49.0333333333333,-118.43333333333,,Point,Grand Forks City Hall,49.0333333333333,-118.43333333333,Grand Forks City Hall,104101
56.1508333333333,-120.68611111111,,Point,Taylor Townsite,56.1508333333333,-120.68611111111,Taylor Townsite,104301
56.1058333333333,-120.66333333333,,Point,Taylor South Hill,56.1058333333333,-120.66333333333,Taylor South Hill,104302
55.7919,-120.4836,,Point,Bessborough 237 Road,55.7919,-120.4836,Bessborough 237 Road,104303
55.9133,-120.5315,,Point,Farmington Community Hall,55.9133,-120.5315,Farmington Community Hall,104304
55.5902,-120.0858,,Point,Tomslake 197 Road East,55.5902,-120.0858,Tomslake 197 Road East,104305
54.6911111111111,-127.05472222222,,Point,Telkwa,54.6911111111111,-127.05472222222,Telkwa,104601
48.8027777777778,-123.645,,Point,Duncan Deykin Avenue,48.8027777777778,-123.645,Duncan Deykin Avenue,104801
48.786114,-123.717307,,Point,Duncan College Street,48.786114,-123.717307,Duncan College Street,104804
50.1439,-122.9611,,Point,Whistler Meadow Park,50.1439,-122.9611,Whistler Meadow Park,105001
54.39959,-126.64596,,Point,Houston Firehall,54.39959,-126.64596,Houston Firehall,105101
54.23306,-125.76352,,Point,Burns Lake Fire Centre,54.23306,-125.76352,Burns Lake Fire Centre,105201
49.4416666666667,-123.49166666666,,Point,Langdale Elementary,49.4416666666667,-123.49166666666,Langdale Elementary,105301
56.2458333333333,-120.84888888888,,Point,Fort St. John NP Cultural Centre,56.2458333333333,-120.84888888888,Fort St. John NP Cultural Centre,105501
56.5781,-120.4975,,Point,Doig River Cultural Centre,56.5781,-120.4975,Doig River Cultural Centre,105503
56.244722,-120.856111,,Point,Fort St John Key Learning Centre,56.244722,-120.856111,Fort St John Key Learning Centre,105504
48.875,-123.65,,Point,Crofton Substation,48.875,-123.65,Crofton Substation,106701
48.8381,-123.6553,,Point,Crofton Georgia Heights,48.8381,-123.6553,Crofton Georgia Heights,106702
48.9217,-125.5411,,Point,Ucluelet Amphitrite Point,48.9217,-125.5411,Ucluelet Amphitrite Point,106800
54.0163,-124.0061,,Point,Vanderhoof,54.0163,-124.0061,Vanderhoof,106900
50.4264,-127.4881,,Point,Rumble Beach Hospital,50.4264,-127.4881,Rumble Beach Hospital,107000
50.3668,-127.4333,,Point,Port Alice Lake Road,50.3668,-127.4333,Port Alice Lake Road,107001
49.6825,-124.9961,,Point,Courtenay Elementary School,49.6825,-124.9961,Courtenay Elementary School,107100
53.3072,-122.5331,,Point,Strathnaver Pellet Plant,53.3072,-122.5331,Strathnaver Pellet Plant,107200
