latitude,longitude,altitude,geometry,Latitude,Longitude,cgndb_key,region_name_en,region_name_fr
47.082841,-55.175272,,Point,47.082841,-55.175272,AADCE,Burin,Burin
48.9521,-57.922167,,Point,48.9521,-57.922167,AAEOU,Corner Brook,Corner Brook
47.5658333333333,-52.725277777777,,Point,47.5658333333333,-52.725277777777,ABEFS,St. John's,St. John's
52.9605694,-66.9365972,,Point,52.9605694,-66.9365972,ABFQA,Labrador City,Labrador City
48.93,-55.66,,Point,48.93,-55.66,ABYRK,Grand Falls - Windsor,Grand Falls - Windsor
46.2402777777778,-63.134722222222,,Point,46.2402777777778,-63.134722222222,BAARG,Charlottetown,Charlottetown
46.45,-64,,Point,46.45,-64.0,BADSZ,Summerside (Wellington),Summerside (Wellington)
46.4166666666667,-62.583333333333,,Point,46.4166666666667,-62.583333333333,BAEMV,St. Peters Bay,St. Peters Bay
44.969167,-64.929722,,Point,44.969167,-64.929722,CAORH,Greenwood,Greenwood
44.647401,-63.590651,,Point,44.647401,-63.590651,CAPHL,Halifax Downtown,centre-ville d'Halifax
45.0775,-64.495277777777,,Point,45.0775,-64.495277777777,CASWE,Kentville,Kentville
44.71338,-63.467261,,Point,44.71338,-63.467261,CATHI,Lake Major,Lake Major
45.6758333333333,-62.709166666666,,Point,45.6758333333333,-62.709166666666,CBDPK,Pictou,Pictou
45.6161111,-61.356111,,Point,45.6161111,-61.356111,CBELL,Port Hawkesbury,Port Hawkesbury
46.1380555555556,-60.195277777777,,Point,46.1380555555556,-60.195277777777,CBLGX,Sydney,Sydney
44.64625,-63.57392,,Point,44.64625,-63.57392,CBUCG,Halifax,Halifax
46.115833,-64.803056,,Point,46.115833,-64.803056,DADHJ,Moncton,Moncton
45.079907,-67.058373,,Point,45.079907,-67.058373,DAEBC,St. Andrews,St. Andrews
45.2591666666667,-66.038888888888,,Point,45.2591666666667,-66.038888888888,DAEGW,Saint John,Saint John
45.945278,-66.666667,,Point,45.945278,-66.666667,DAFMJ,Fredericton,Fredericton
